pos_tag,n_contexts,pearson_r,pearson_p,spearman_r,spearman_p
NUM,22,0.9367,1.3824837208125244e-66,0.6155,2.2400634082012685e-16
ADP,81,0.8303,7.080298176577323e-38,0.4076,3.9595513715976497e-07
SCONJ,15,0.7608,1.9145431287778067e-28,0.3997,6.959866141221804e-07
CCONJ,53,0.7109,1.8216064874575256e-23,0.4483,1.7605828561830006e-08
NOUN,136,0.6926,6.892360556256961e-22,0.8251,4.941836731599039e-37
VERB,117,0.5563,4.5326774310669063e-13,0.6287,3.269614327469887e-17
ADJ,126,0.5286,9.804782632937994e-12,0.3846,1.939954434592021e-06
ADV,99,0.4276,9.02584893172092e-08,0.3428,2.6054239374155495e-05
PRON,69,0.3431,2.558218045569465e-05,0.4839,8.067209579327164e-10
PART,58,0.2938,0.0003506656259339822,0.3076,0.00017622708852741645
DET,51,0.2621,0.0015034228168333255,0.4098,3.3783334789227776e-07
INTJ,34,0.0039,0.9626761588538236,0.1067,0.2031644568725312
